id,library_index,status,family,preinsert_task_rank,seated_task_rank,preinsert_compatible,seated_compatible,required_aperture_m,quality,seated_pcb_clearance_m,preinsert_pcb_clearance_m,collision_free_insertion_travel_m,remaining_to_seat_at_collision_m,limiting_gripper_component,T_P_E_00,T_P_E_01,T_P_E_02,T_P_E_03,T_P_E_10,T_P_E_11,T_P_E_12,T_P_E_13,T_P_E_20,T_P_E_21,T_P_E_22,T_P_E_23,T_P_E_30,T_P_E_31,T_P_E_32,T_P_E_33
g_c7f001ba95935efa,1017,phase1_preinsert_only_candidate,close_z_approach_-x,1184,,True,False,0.002539999962,0.741551378528,-0.032115456932,0.007884543068,0.007384543068,0.032615456932,body,-0.001572278739,0.0,-0.999998763969,0.015596667149,-0.999998763969,0.0,0.001572278739,0.009003804814,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_b102f0902bf844b7,1018,rejected_preinsert_pcb_collision,close_z_approach_-x,,,False,False,0.002539999962,0.741505466332,-0.093822866942,-0.053822866942,0.0,0.04,body,-0.260337429835,0.0,-0.965517696693,0.025837526621,-0.965517696693,0.0,0.260337429835,0.007046696391,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_52141d16b846fb26,1019,phase1_preinsert_only_candidate,close_z_approach_-x,1368,,True,False,0.002539999962,0.741503507739,-0.03395253299,0.00604746701,0.00554746701,0.03445253299,body,-0.001572278739,0.0,-0.999998763969,0.015515908837,-0.999998763969,0.0,0.001572278739,0.007166728755,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_8bdefe8090b900ed,1020,phase1_preinsert_only_candidate,close_z_approach_-x,159,,True,False,0.002539999962,0.741459616125,-0.00884562468,0.03115437532,0.03065437532,0.00934562468,right_lower_finger,0.257300020554,0.0,-0.966331568057,0.021687061277,-0.966331568057,0.0,-0.257300020554,0.007164283656,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_641bfd366c810f8b,1021,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.741445720819,-0.099489998287,-0.059489998287,0.0,0.04,body,0.255153235504,0.0,-0.966900629026,0.027825406175,0.0,1.0,0.0,0.007062596679,0.966900629026,0.0,0.255153235504,0.006428690686,0.0,0.0,0.0,1.0
g_342ad42b7ad85c90,1022,phase1_preinsert_only_candidate,close_z_approach_+x,1273,,True,False,0.002539999962,0.741325411676,-0.033196579759,0.006803420241,0.006303420241,0.033696579759,body,0.001572278739,0.0,0.999998763969,0.017407643004,0.999998763969,0.0,-0.001572278739,0.007233023095,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_06ee493fbaa935fc,1023,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.741323195237,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.028902464305,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.006268482078,0.0,0.0,0.0,1.0
g_effd458980518906,1024,phase1_preinsert_only_candidate,close_z_approach_+x,134,,True,False,0.002539999962,0.741144662061,-0.008359575637,0.031640424363,0.031140424363,0.008859575637,left_upper_finger,0.260337429835,0.0,0.965517696693,0.015859146573,0.965517696693,0.0,-0.260337429835,0.007759989849,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_437f264bad54bfda,1025,phase1_preinsert_only_candidate,close_z_approach_-x,1164,,True,False,0.002539999962,0.741039354805,-0.031952224619,0.008047775381,0.007547775381,0.032452224619,body,-0.001572278739,0.0,-0.999998763969,0.028459862042,-0.999998763969,0.0,0.001572278739,0.009167037126,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_75d41e31325c74ac,1026,phase1_preinsert_only_candidate,close_z_approach_+x,1176,,True,False,0.002539999962,0.741035158612,-0.032036784255,0.007963215745,0.007463215745,0.032536784255,body,0.001572278739,0.0,0.999998763969,0.00757056407,0.999998763969,0.0,-0.001572278739,0.008392818599,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_22658c72ab4eae6e,1027,rejected_preinsert_pcb_collision,close_z_approach_-x,,,False,False,0.002539999962,0.740984616296,-0.093525284187,-0.053525284187,0.0,0.04,body,-0.260337429835,0.0,-0.965517696693,0.020153412432,-0.965517696693,0.0,0.260337429835,0.007344279146,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_b41d785b0c646034,1028,phase1_preinsert_only_candidate,close_z_approach_+x,1321,,True,False,0.002539999962,0.740956105617,-0.033572762893,0.006427237107,0.005927237107,0.034072762893,body,0.001572278739,0.0,0.999998763969,0.007696742111,0.999998763969,0.0,-0.001572278739,0.006856839961,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
